Date,Open,High,Low,Close,Adj Close,Volume
2023-04-19,61.400002,61.570000,60.880001,61.290001,58.828556,1138702
2023-04-20,61.290001,61.480000,60.910000,60.990002,58.540604,1721820
2023-04-21,60.900002,61.080002,59.770000,60.689999,58.252647,3055498
2023-04-24,60.759998,60.770000,60.130001,60.430000,58.003094,1495949
2023-04-25,60.270000,60.639999,59.970001,60.430000,58.003094,1248397
2023-04-26,60.080002,60.810001,59.810001,60.110001,57.695942,2014761
2023-04-27,60.240002,60.310001,59.580002,59.720001,57.321606,1691781
2023-04-28,59.869999,60.150002,58.910000,59.759998,57.359997,2760911
2023-05-02,57.700001,58.060001,57.090000,57.200001,57.200001,2573922
2023-05-03,57.500000,57.700001,56.689999,57.200001,57.200001,1689854
2023-05-04,57.250000,58.250000,57.200001,58.099998,58.099998,1927430
2023-05-05,58.410000,58.700001,57.590000,58.700001,58.700001,2041353
2023-05-08,58.509998,58.590000,58.009998,58.310001,58.310001,1587358
2023-05-09,58.290001,58.360001,57.919998,58.330002,58.330002,1654069
2023-05-10,58.299999,58.639999,58.060001,58.290001,58.290001,2078000
2023-05-11,56.500000,56.500000,53.680000,53.939999,53.939999,8999701
2023-05-12,53.529999,54.650002,53.480000,53.730000,53.730000,4215771
2023-05-15,54.099998,54.279999,52.189999,53.299999,53.299999,4194448
2023-05-16,53.240002,54.230000,53.200001,53.650002,53.650002,2431079
2023-05-17,53.560001,53.900002,53.049999,53.790001,53.790001,2184267
2023-05-18,54.110001,54.480000,54.040001,54.259998,54.259998,371006
